feature,mean_abs_shap
categorical__diag_2_140,0.0
categorical__diag_2_138,0.0
categorical__diag_2_137,0.0
categorical__diag_2_136,0.0
categorical__diag_2_135,0.0
categorical__diag_2_131,0.0
categorical__diag_2_117,0.0
categorical__diag_2_114,0.0
categorical__diag_2_189,0.0
categorical__diag_2_188,0.0
categorical__diag_2_186,0.0
categorical__diag_2_185,0.0
categorical__diag_2_183,0.0
categorical__diag_2_180,0.0
categorical__diag_2_179,0.0
categorical__diag_2_174,0.0
categorical__diag_2_173,0.0
categorical__diag_2_172,0.0
categorical__diag_2_171,0.0
categorical__diag_2_164,0.0
categorical__diag_2_163,0.0
categorical__diag_2_162,0.0
categorical__diag_2_157,0.0
categorical__diag_2_156,0.0
categorical__diag_2_215,0.0
categorical__diag_2_214,0.0
categorical__diag_2_212,0.0
categorical__diag_2_211,0.0
categorical__diag_2_208,0.0
categorical__diag_2_205,0.0
categorical__diag_2_204,0.0
categorical__diag_2_203,0.0
categorical__diag_2_201,0.0
